operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
Heartland Community College,1.65,1,Commercial NAICS Non-Cogen,0.2661174587404096,-0.017800960423911216,0.0013279050399492987
Notus Clean Energy LLC,1.65,1,NAICS-22 Non-Cogen,0.29412982281834743,-0.048642159297897,0.0013279050399492987
Iowa Lakes Community College,1.65,1,Commercial NAICS Non-Cogen,0.14461555445162003,-0.1475133852183033,0.0013279050399492987
University of Minnesota Morris Campus,1.65,1,Commercial NAICS Non-Cogen,0.2792266931611194,-0.09148865706242754,0.0013279050399492987
"Wiota Wind Energy, LLC #1",1.6,1,NAICS-22 Non-Cogen,0.31292691256830596,-0.08908242258652094,0.0012876654932841684
"Forward Fontanelle Power, LLC",1.6,1,NAICS-22 Non-Cogen,0.40549578779599266,-0.002419171220400751,0.0012876654932841684
"Greenfield Wind Power, LLC",1.6,1,NAICS-22 Non-Cogen,0.3778176229508196,0.024832081056466282,0.0012876654932841684
"Meadow Ridge Wind Energy, LLC",1.6,1,NAICS-22 Non-Cogen,0.3753984517304189,-0.024832081056466282,0.0012876654932841684
Luther College Wind Energy Project LLC,1.6,1,NAICS-22 Non-Cogen,0.1886953551912568,-0.013020833333333343,0.0012876654932841684
"Cumberland Rose Wind Energy, LLC",1.6,1,NAICS-22 Non-Cogen,0.37212545537340613,0.006119080145719491,0.0012876654932841684
Town of Ipswich - (MA),1.6,1,Electric Utility,0.10815118397085609,-0.16037682149362475,0.0012876654932841684
Kas Brothers Windfarm LLC,1.5,1,NAICS-22 Non-Cogen,0.13387978142076504,-0.10344565877352763,0.001207186399953908
"OEE XVII, LLC",1.5,1,Commercial NAICS Non-Cogen,0.14951426836672738,-0.1023831208257438,0.001207186399953908
OEE XXIV LLC,1.5,1,Industrial NAICS Non-Cogen,0.14245598057073466,-0.16795689131754704,0.001207186399953908
City of Osage - (IA),1.5,1,Electric Utility,0.350789313904068,0.018897996357012725,0.001207186399953908
City of Traer - (IA),1.5,1,Electric Utility,0.44186399514268365,,0.001207186399953908
New London Municipal Utilities,1.5,1,Electric Utility,0.3251366120218579,0.0031876138433515333,0.001207186399953908
Hawkeye Power Partners LLC,1.5,1,NAICS-22 Non-Cogen,13.361718275652702,7.343503339404979,0.001207186399953908
City of Moorhead - (MN),1.5,1,Electric Utility,0.09418639951426837,-0.0737704918032787,0.001207186399953908
Scituate Wind LLC,1.5,1,NAICS-22 Non-Cogen,0.1786581663630844,-0.07748937462052213,0.001207186399953908
Mesalands Community College,1.5,1,Commercial NAICS Non-Cogen,0.0,-0.06701578627808136,0.001207186399953908
"WED Coventry One, LLC",1.5,1,NAICS-22 Non-Cogen,0.18328779599271403,-0.03597449908925318,0.001207186399953908
